UA_Name,UA_Country,UA_Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors,Overall Rating
Aarhus, Denmark,Europe,6.132,4.015,2.827,2.512,3.536,6.312,9.94,9.617,8.704,5.366,7.633,4.887,5.068,8.373,3.187,9.739,4.13,6.00
Adelaide, Australia,Oceania,6.31,4.692,3.136,2.64,1.777,5.336,9.4,7.926,7.937,5.142,8.331,6.07,4.588,4.341,4.328,7.822,5.531,5.61
Birmingham,United States,North America,6.556,5.133,4.358,1,1.435,2.021,8.671,1.776,6.541,3.624,7.038,6.514,4.204,5.16,5.384,4.882,1.266,4.44
Almaty, Kazakhstan,Asia,9.282,9.333,2.458,0,4.592,5.871,5.568,7.309,4.546,2.283,3.857,5.269,8.522,2.886,2.937,6.54,5.5,5.10
Amsterdam, Netherlands,Europe,3.053,3.824,7.972,6.107,8.324,6.118,8.837,8.504,7.907,6.18,7.597,5.053,4.955,4.523,8.874,8.368,5.307,6.56
Anchorage,United States,North America,5.434,3.141,2.794,0,1.738,4.715,8.671,3.47,6.06,3.624,9.272,6.514,4.772,4.964,3.266,7.093,5.358,4.76
Andorra,Andorra,Europe,3.969,0,1,0,0.5,0,0,9.554,0,0,7.256,0,4.475,7.186,2.132,8.704,3.588,2.84
Ankara, Turkey,Asia,9.928,9.125,3.973,0,2.047,5.291,5.948,7.425,6.914,2.029,2.936,4.094,4.323,2.316,8.638,4.486,5.146,4.98
Phoenix,United States,North America,6.533,6.208,6.509,4.558,3.302,4.829,8.671,2.583,6.126,4.591,4.625,6.514,4.488,6.178,6.81,5.565,6.736,5.58
Asuncion, Paraguay,South America,9.226,9.295,2.207,0,0.645,4.969,3.684,6.934,5.485,0,3.969,4.109,8.423,1.479,5.992,7.051,3.485,4.53
Athens, Greece,Europe,9.052,6.5,4.404,2.325,3.707,5.22,6.169,6.758,7.153,3.162,3.802,3.32,4.166,2.228,7.876,6.268,6.483,5.21
Los Angeles,United States,North America,1.528,4.556,10,10,3.958,3.677,8.575,5.705,6.027,8.624,4.732,6.514,4.768,5.497,9.196,6.96,6.747,6.30
Auckland, New Zealand,Oceania,4.72,4.47,4.588,2.79,1.305,4.845,10,7.022,8.163,5.046,8.272,5.506,5.932,6.85,4.396,7.402,5.862,5.72
Palo Alto,United States,North America,0.5,0,8.294,9.623,3.151,2.203,8.671,7.637,6.515,3.624,6.727,6.514,4.488,7.142,0,8.454,1.75,5.02
Baku, Azerbaijan,Asia,9.745,9.806,2.67,0,2.169,5.492,5.672,8.772,3.702,0,2.621,3.876,5.861,1.442,6.22,6.585,4.503,4.66
Bali, Indonesia,Asia,5,0,1.628,0,1.93,5.194,3.912,8.748,4.442,0.528,4.138,4.658,6.266,3.238,6.334,4.559,7.5,4.00
San Diego,United States,North America,2.934,5.156,8.35,8.595,2.622,4.41,8.671,6.933,6.52,5.458,7.267,6.514,4.488,5.999,8.21,8.54,6.396,6.30
Bangkok, Thailand,Asia,7.394,7.222,6.119,3.453,4.112,4.294,5.604,7.036,7.127,1.692,3.371,2.387,6.795,4.826,9.089,6.019,6.494,5.47
Barcelona, Spain,Europe,6.323,6.074,7.759,5.655,5.806,5.699,7.12,7.407,8.403,5.029,3.666,4.296,3.894,6.468,8.591,7.472,5.828,6.21
Beijing, China,Asia,6.173,8.101,4.872,9.562,7.018,4.837,3.815,7.066,6.423,7.971,2.056,6.103,1.426,3.493,7.268,2.822,4.944,5.53
Beirut, Lebanon,Asia,6.656,6.3,3.409,0,1.305,4.773,4.329,6.833,6.159,1.004,1.449,3.435,8.28,1.59,3.4,4.184,3.842,3.94
Belfast, United Kingdom,Europe,7.532,6.014,3.55,1.621,4.098,5.28,8.992,7.679,8.168,4.687,8.378,5.438,5.954,5.596,4.957,5.98,1.413,5.61
Belgrade, Serbia,Europe,9.258,8.546,4.91,2.333,2.137,5.578,5.384,6.7,6.01,0.5,4.883,1.638,4.166,3.863,6.497,7.387,5.078,4.99
Belize City, Belize,North America,4.642,0,1.866,0,0.89,0,3.411,6.052,5.504,0,2.031,3.496,6.93,3.808,1.064,6.865,0.5,2.77
Bengaluru, India,Asia,9.811,10,10,8.973,4.064,4.006,3.618,7.294,3.937,0.656,2.756,5.556,3.414,2.841,3.222,3.484,2.385,5.06
Bergen, Norway,Europe,5.229,1.805,2.207,1,3.243,5.888,9.635,7.708,7.647,4.84,7.539,7.074,4.752,6.537,4.488,7.614,4.314,5.38
Berlin, Germany,Europe,6.395,5.524,9.085,7.82,7.025,6.196,9.072,7.252,7.991,7.019,6.772,5.374,3.904,4.678,8.881,7.177,5.475,6.80
Bern, Switzerland,Europe,4.923,1,2.688,0,5.264,5.198,8.888,9.266,7.52,5.346,9.244,6.552,6.429,6.115,4.245,8.589,2.122,5.49
Bilbao, Spain,Europe,6.888,5.638,2.668,0,4.174,5.775,7.12,8.78,9.321,3.759,8.328,4.296,3.894,5.756,6.014,8.663,1.481,5.44
Birmingham, United Kingdom,Europe,5.904,5.814,4.358,2.541,5.845,5.494,8.992,6.947,8.294,5.026,5.738,5.438,5.954,5.94,4.435,6.421,1.268,5.55
San Francisco Bay Area,United States,North America,1,2.618,10,10,3.655,4.687,8.671,5.716,6.449,8.624,6.482,6.514,4.488,5.606,9.407,8.013,7.014,6.41
Bogota, Colombia,South America,9.028,9.08,5.708,1.259,1.889,4.964,6.349,6.222,6.302,1.534,4.348,4.594,1.852,2.976,6.215,8.555,7.477,5.20
San Luis Obispo,United States,North America,1.724,0,3.828,3.077,1.134,1.392,8.671,8.058,5.871,3.624,7.392,6.514,4.488,7.936,2.776,9.666,1.508,4.57
Bologna, Italy,Europe,7.472,5.189,3.149,1.397,3.682,5.53,6.19,7.337,8.578,4.203,5.46,3.362,2.436,7.71,5.736,7.618,1.582,5.10
Bordeaux, France,Europe,7.192,4.583,3.692,0,4.876,5.55,8.088,7.466,8.823,4.442,7.261,4.204,2.648,3.875,5.3,7.126,2.876,5.18
Boulder,United States,North America,3.704,4.531,5.853,6.019,4.207,6.138,8.671,7.074,7.05,4.679,9.844,6.514,4.346,6.278,2.565,9.275,6.699,6.09
Colorado Springs,United States,North America,6.5,5.375,4.267,2.147,1.266,1.735,8.671,5.378,5.844,3.624,8.527,6.514,4.346,5.922,3.812,9.206,7.356,5.32
Denver,United States,North America,3.838,5.102,7.864,6.117,4.243,4.53,8.671,5.371,6.22,3.624,7.117,6.514,4.346,5.419,6.224,7.86,7.933,5.94
Bratislava, Slovakia,Europe,7.874,7.618,3.487,0,4.89,5.812,6.189,8.618,6.752,3.298,6.2,4.47,4.937,4.584,6.186,6.432,4.858,5.42
Brighton, United Kingdom,Europe,2.49,5.324,3.409,0,8.322,5.548,8.992,8.472,7.716,4.906,8.246,5.438,5.954,4.758,4.87,8.17,4.898,5.74
Brisbane, Australia,Oceania,5.212,5.177,6.343,3.24,2.434,4.618,9.4,7.904,8.318,5.921,8.828,6.07,4.588,4.408,4.01,7.49,6.257,5.90
Bristol, United Kingdom,Europe,5.216,5.242,4.113,3.593,4.89,5.444,8.992,7.94,8.252,5.462,6.472,5.438,5.954,6.478,3.862,7.439,4.538,5.84
Brno, Czechia,Europe,8.329,7.926,2.916,0,2.601,5.827,6.213,8.566,8.097,4.227,6.055,4.378,5.934,7.021,5.352,8.055,3.694,5.60
Brussels, Belgium,Europe,6.355,4.477,5.692,3.374,7.468,5.387,8.877,6.703,8.158,6.653,4.591,4.812,1.883,7.572,8.144,6.481,4.123,5.93
Bucharest, Romania,Europe,9.187,8.516,5.383,1.187,3.496,5.073,5.682,8.986,6.075,2.448,3.419,4.103,6.839,9.638,6.959,8.687,1.968,5.74
Budapest, Hungary,Europe,8.57,7.948,5.494,2.804,4.427,5.395,6.708,8.218,5.746,3.693,5.288,4.946,6.108,6.759,8.253,7.228,5.112,6.04
Buenos Aires, Argentina,South America,8.812,7.764,4.673,2.31,3.77,4.924,4.045,6.04,6.979,1.422,4.869,2.884,1.568,1.528,7.674,8.584,4.536,4.85
Fort Collins,United States,North America,2.745,0,4.044,0,1.102,2.008,8.671,6.935,6.831,4.174,9.953,6.514,4.346,5.302,2.746,9.48,6.187,4.77
Cairo, Egypt,Africa,10,10,5.099,2.958,3.758,3.99,5.791,6.791,4.041,0.5,1.156,2.978,5.101,2.405,6.186,2.65,0.5,4.35
Calgary, Canada,North America,6.495,5.418,5.95,2.036,2.514,5.158,8.966,7.923,8.026,5.555,8.191,5.841,7.275,5.671,4.268,8.11,7.504,6.17
Cambridge, United Kingdom,Europe,4.106,4.851,5.253,3.284,6.887,5.628,8.992,9.504,8.189,6.555,8.017,5.438,5.954,5.81,2.455,8.487,0.5,5.88
Cape Town, South Africa,Africa,6.764,7.955,5.611,3.725,2.163,3.842,4.732,5.328,4.343,0.895,6.608,2.768,5.151,5.613,4.736,3.66,6.751,4.74
Caracas, Venezuela,South America,4.902,9.82,3.054,0,1.324,4.544,1,5.221,4.178,0,2.272,1.978,4.18,1.642,4.38,4.55,4.098,3.36
Cardiff, United Kingdom,Europe,7.065,6.082,3.396,1.78,4.89,5.765,8.992,8.21,8.318,4.786,6.607,5.438,5.954,5.101,5.028,7.996,4.806,5.89
Casablanca, Morocco,Africa,8.822,9.088,3.098,0,2.914,4.26,5.614,6.776,4.47,0,2.256,3.174,3.3,2.067,2.683,2.945,3.994,3.85
Washington,United States,North America,1.21,3.595,8.774,8.056,4.505,4.457,8.671,2.192,6.258,5.969,6.994,6.514,4.062,3.826,10,6.55,5.023,5.69
Jacksonville,United States,North America,6.45,5.359,4.348,2.545,1.567,1.406,8.671,3.826,6.199,3.624,7.12,6.514,4.772,6.158,5.655,5.679,5.013,4.99
Miami,United States,North America,3.031,4.497,8.023,5.055,4.169,4.053,8.671,4.321,6.031,4.394,6.292,6.514,4.772,5.824,6.768,6.044,5.384,5.52
Chennai, India,Asia,10,10,7.104,3.782,4.208,4.842,3.618,7.837,4.075,0.512,2.395,5.556,3.414,6.826,2.228,4.55,4.198,5.01
Chiang Mai, Thailand,Asia,9.372,8.495,1.783,0,1.694,5.141,5.604,8.453,7.394,1.688,3.981,2.387,6.795,4.286,6.848,6.872,3.088,4.93
Orlando,United States,North America,5.778,5.284,6.598,2.464,3.774,4.339,8.671,4.134,5.967,3.624,6.676,6.514,4.772,4.886,5.93,5.784,4.493,5.28
Chisinau, Moldova,Europe,9.676,9.343,3.054,0,1.602,5.495,5.443,7.628,5.066,1.4,4.338,3.977,6.232,5.362,2.712,6.647,3.121,4.77
Christchurch, New Zealand,Oceania,6.934,5.096,1.536,0,0.833,5.518,10,7.585,8.312,4.756,9.256,5.506,5.932,5.922,3.224,8.404,6.269,5.59
Tampa Bay Area,United States,North America,5.696,5.253,6.347,3.778,2.906,1.401,8.671,4.706,6.573,4.28,7.379,6.514,4.772,7.195,6.434,5.36,5.497,5.46
Atlanta,United States,North America,4.976,5.241,8.835,7.257,5.292,3.898,8.671,2.672,6.023,6.457,5.818,6.514,4.204,6.48,7.765,4.062,5.01,5.83
Cluj-Napoca, Romania,Europe,9.165,8.794,3.409,1.899,1.763,5.876,5.682,9.474,6.434,2.448,6.401,4.103,6.839,8.666,2.628,8.624,4.255,5.67
Cologne, Germany,Europe,6.526,5.607,5.107,3.278,7.282,5.382,9.072,6.63,8.04,5.104,6.48,5.374,3.904,5.666,5.322,6.712,5.289,5.93
Honolulu,United States,North America,2.342,2.867,4.134,0,1.983,4.162,8.671,6.857,6.431,4.28,6.094,6.514,4.204,6.158,7.623,7.774,5.918,5.06
Boise,United States,North America,6.964,6.578,4.205,2.596,1.324,5.225,8.671,4.36,6.797,3.624,8.07,6.514,4.062,3.442,4.2,6.928,5.221,5.22
Copenhagen, Denmark,Europe,4.227,3.426,6.207,4.467,6.3,6.296,9.94,9.152,7.985,5.301,8.272,4.887,5.068,7.24,7.063,9.096,4.671,6.45
Cork, Ireland,Europe,5.515,4.902,3.988,2.87,2.362,5.504,8.346,8.84,7.426,4.879,8.013,7.515,6.255,9.144,2.532,8.631,0.5,5.72
Curitiba, Brazil,South America,9.43,8.433,2.912,2.148,0.89,4.95,2.781,5.946,5.897,1.017,7.757,2.187,2.852,3.142,7.188,7.848,2.666,4.59
Chicago,United States,North America,3.702,4.766,9.513,8.368,5.508,4.58,8.671,3.832,6.216,7.999,6.804,6.514,4.062,6.599,8.193,6.134,5.416,6.29
Dar es Salaam, Tanzania,Africa,7.652,8.026,2.688,3.191,1.454,2.076,3.289,6.1,3.239,0,2.08,5.5,4.497,1.11,1.205,2.766,4.354,3.48
Delhi, India,Asia,9.752,9.869,9.829,9.099,5.642,3.712,3.618,6.418,3.713,0.512,2.203,5.556,3.414,3.588,5.683,3.116,1.178,5.11
Indianapolis,United States,North America,6.266,5.478,5.503,3.96,1.682,4.859,8.671,3.968,6.151,3.624,6.16,6.514,4.062,5.876,7.299,6.87,3.965,5.35
Des Moines,United States,North America,6.851,6.327,2.912,1.818,1.379,2.072,8.671,6.984,6.709,3.624,8.682,6.514,4.346,5.698,6.066,8.476,3.3,5.32
Louisville,United States,North America,7.258,6.358,4.254,2.293,1.473,1.954,8.671,3.618,6.162,3.624,6.601,6.514,4.062,5.527,5.694,5.778,1.3,4.77
Doha, Qatar,Asia,2.132,6.183,2.688,0,2.642,4.616,7.408,9.486,7.434,1.434,3.942,9.39,10,3.245,4.62,5.062,4.437,4.98
Dresden, Germany,Europe,7.885,6.028,2.406,1.533,3.536,4.96,9.072,8.464,8.394,5.125,8.111,5.374,3.904,5.604,6.638,7.369,4.649,5.83
Dubai, United Arab Emirates,Asia,2.591,5.49,7.309,4.183,4.508,4.228,8.037,9.172,6.392,2.28,6.036,7.886,10,3.151,4.67,5.427,5.798,5.72
Dublin, Ireland,Europe,2.512,4.005,5.651,6.204,4.762,5.446,8.346,7.121,6.81,5.606,6.502,7.515,6.255,8.344,7.135,7.328,5.664,6.19
Dusseldorf, Germany,Europe,6.282,5.134,3.389,2.23,6.67,5.283,9.072,8.166,8.004,4.307,7.375,5.374,3.904,5.666,4.664,7.868,5.358,5.81
Edinburgh, United Kingdom,Europe,5.845,5.114,4.109,3.337,5.185,5.968,8.992,8.485,8.552,6.093,7.763,5.438,5.954,5.176,7.201,7.922,5.131,6.25
Edmonton, Canada,North America,6.73,5.522,4.624,2.392,1.902,5.097,8.966,7.118,8.269,5.948,8.176,5.841,7.275,4.61,3.974,7.925,3.385,5.75
Eindhoven, Netherlands,Europe,6.252,5.125,3.54,3.017,4.807,6.032,8.837,9.107,8.559,5.08,8.805,5.053,4.955,7.659,4.334,9.342,4.628,6.18
New Orleans,United States,North America,5.339,4.992,4.736,1.21,1.757,4.628,8.671,2.088,5.884,4.152,5.674,6.514,4.346,6.453,7.198,5.124,1,4.69
Florence, Italy,Europe,6.775,4.649,2.228,0,4.306,6.029,6.19,7.972,8.164,4.058,6.009,3.362,2.436,4.442,8.503,6.736,1.677,4.91
Florianopolis, Brazil,South America,9.06,8.331,1,0,0.683,4.788,2.781,6.525,5.433,1.017,4.944,2.187,2.852,3.185,5.33,7.638,5.751,4.21
Portland,United States,North America,0,0,3.637,0,1.102,1.97,8.671,6.358,5.175,3.624,7.675,6.514,4.062,3.546,3.305,8.271,4.978,4.05
Frankfurt, Germany,Europe,5.957,5.143,3.768,3.399,8.529,5.923,9.072,6.838,7.707,5.206,6.476,5.374,3.904,4.079,6.492,7.034,5.384,5.90
Fukuoka, Japan,Asia,4.01,0,1.484,1.79,6.172,0,8.39,9.945,9.098,5.528,7.916,3.724,6.033,4.575,5.86,7.259,5.682,5.15
Galway, Ireland,Europe,6.276,4.927,2.538,2.556,2.362,5.69,8.346,8.89,7.07,5.008,7.519,7.515,6.255,7.637,1.115,8.7,3.712,5.65
Gdansk, Poland,Europe,8.508,8.127,2.688,0,2.834,5.861,5.704,8.04,6.856,4.662,7.795,4.762,5.097,5.036,5.515,4.478,5.025,5.35
Geneva, Switzerland,Europe,1.078,1,4.692,3.089,5.867,6.003,8.888,8.427,7.443,5.186,8.602,6.552,6.429,8.378,5.244,8.62,6.554,6.00
Gibraltar, Gibraltar,Europe,1.112,0,2.842,1.566,0.758,0,0,9.338,3.023,0,5.184,0,2.913,4.296,2.235,4.426,4.756,2.50
Glasgow, United Kingdom,Europe,6.929,5.623,3.505,1.182,6.2,5.352,8.992,7.496,8.813,5.307,7.101,5.438,5.954,4.253,4.671,6.943,3.741,5.74
Gothenburg, Sweden,Europe,6.725,5.046,3.129,3.725,3.658,5.969,9.569,7.296,8.102,4.778,8.59,5.694,2.75,6.192,4.004,6.364,4.568,5.66
Grenoble, France,Europe,7.505,4.317,2.743,1.852,3.996,5.526,8.088,5.888,9.063,4.549,6.151,4.204,2.648,3.758,3.178,5.05,4.646,4.89
Guadalajara, Mexico,North America,9.527,9.49,4.344,0,1.729,4.346,5.765,6.472,7.034,1.21,3.343,3.5,4.334,4.093,7.657,8.158,3.477,4.97
Guatemala City, Guatemala,North America,8.812,8.175,2.641,1.673,0.815,0.524,4.617,6.139,4.764,0,3.758,3.805,8.505,2.506,5.164,7.157,4.134,4.31
Halifax, Canada,North America,6.895,4.943,3.624,2.284,1.57,5.403,8.966,7.189,7.886,5.42,7.618,5.841,7.275,6.124,3.942,7.853,4.023,5.70
Hamburg, Germany,Europe,5.945,4.904,5.794,4.197,5.685,5.826,9.072,6.459,8.13,4.307,8.124,5.374,3.904,5.56,6.352,7.163,5.088,5.99
Hannover, Germany,Europe,7.754,6,1,0,5.646,6.55,9.072,7.353,8.134,4.834,9.131,5.374,3.904,5.666,3.526,7.266,4.266,5.62
Havana, Cuba,North America,9.089,7.608,1.498,0,1.919,0,1.643,8.634,7,0,3.862,2.55,0.5,1.703,2.07,8.76,5.022,3.64
Helsinki, Finland,Europe,5.396,4.121,5.683,5.507,4.75,5.779,9.451,8.674,7.954,5.454,9.301,3.921,4.878,5.104,7.055,7.502,4.798,6.20
Ho Chi Minh City, Vietnam,Asia,8.618,8.844,4.93,1.739,2.08,5.184,4.102,6.768,5.54,4.116,1.42,4.834,5.045,4.565,5.874,5.943,1.258,4.76
Hong Kong, Hong Kong,Asia,1,4.967,8.343,8.314,3.679,5.54,9.294,9.35,4.154,9.711,4.533,6.482,8.38,6.228,7.058,7.152,5.796,6.47
Baltimore,United States,North America,4.83,4.982,0,4.358,3.666,4.935,5.502,2.373,6.871,5.88,5.785,6.514,4.062,4.988,0,5.755,3.98,4.38
Boston,United States,North America,1,4.259,9.565,10,3.215,4.396,8.671,7.742,6.729,8.624,8.171,6.514,4.062,5.701,8.564,8.482,5.66,6.55
Hyderabad, India,Asia,10,10,8.724,3.585,3.841,4.632,3.618,8.126,3.957,0,2.841,5.556,3.414,5.54,4.271,4.132,3.209,5.03
Detroit,United States,North America,6.223,6.032,5.402,5.184,3.64,0.933,8.671,4.462,5.786,5.818,4.047,6.514,3.778,6.167,7.478,3.678,5.387,5.25
Innsbruck, Austria,Europe,6.708,4.732,2.126,0,5.57,6.374,7.596,8.273,7.885,4.33,7.366,4.663,2.666,5.06,4.424,8.485,3.964,5.31
Istanbul, Turkey,Asia,9.138,8.787,6.954,2.111,5.836,4.066,5.948,6.894,6.84,2.152,3.405,4.094,4.323,3.5,10,3.892,5.744,5.51
Minneapolis-Saint Paul,United States,North America,4.739,5.042,6.526,5.523,3.544,4.925,8.671,5.085,6.681,5.274,8.362,6.514,4.062,6.258,6.85,7.288,5.096,5.91
Jakarta, Indonesia,Asia,8.671,8.471,5.65,6.437,2.489,3.64,4.029,7,4.184,1.028,2.486,4.658,6.266,4.499,8.146,2.066,7.202,5.11
Johannesburg, South Africa,Africa,8.012,7.575,4.937,1.467,3.203,3.916,4.732,5.166,3.649,0.758,4.326,2.768,5.151,2.838,4.402,3.66,2.956,4.09
Kansas City,United States,North America,6.708,5.844,2.794,3.538,1.869,1.973,8.671,4.423,6.45,3.624,7.976,6.514,4.062,8.189,6.675,5.02,4.162,5.21
Karlsruhe, Germany,Europe,7.764,5.294,2.994,1.299,4.798,4.905,9.072,6.858,8.412,5.208,7.768,5.374,3.904,4.594,3.986,8.337,4.589,5.60
Kathmandu, Nepal,Asia,10,9.445,3.211,0,1.041,5.349,4.74,8.506,4.116,0,1,4.496,5.513,2.201,5.039,9.129,3.798,4.56
Kiev, Ukraine,Europe,9.084,9.817,4.05,2.545,5.488,5.161,4.525,7.256,4.851,0.5,3.666,1.276,5.478,6.041,8.42,6.827,5.349,5.31
Kingston, Jamaica,North America,8.896,5.937,2.648,0,0.815,4.927,6.568,5.528,6.678,0,3.02,1.83,6.073,4.483,4.278,2.844,3.346,3.99
St. Louis,United States,North America,6.958,5.504,5.424,3.885,2.532,5.086,8.671,3.881,6.67,5.272,7.374,6.514,4.062,8.909,7.643,4.376,4.828,5.74
Krakow, Poland,Europe,8.424,8.509,4.534,2.11,2.929,5.629,5.704,8.522,6.854,4.663,4.802,4.762,5.097,5.788,7.84,4.592,4.308,5.59
Kuala Lumpur, Malaysia,Asia,8.664,8.238,5.542,4.245,3.562,4.38,7.597,5.881,5.95,2.527,3.87,6.339,6.126,5.462,7.166,1.528,5.739,5.46
Kyoto, Japan,Asia,3.765,0,1.302,0,6.794,2.5,8.39,10,9.079,6.241,6.435,3.724,6.033,3.712,8.154,7.663,1.646,5.03
Lagos, Nigeria,Africa,7.767,9.098,6.434,2.51,1.748,3.565,3.256,5.999,2.862,0,1.907,5.061,6.216,1.634,1.358,1.406,3.824,3.80
La Paz, Bolivia,South America,4.724,0,1.498,0,1.319,3.834,3.482,6.751,4.316,0,1.734,4.536,4.549,1.548,1.525,6.293,5.5,3.04
Las Palmas de Gran Canaria, Spain,Europe,8.232,7.717,1.584,0,4.323,0,7.12,9.154,9.214,3.759,6.86,4.296,3.894,6.196,2.814,9.718,5.538,5.32
Bozeman,United States,North America,2.949,0,3.407,0,1.19,0,8.671,6.914,6.515,4.128,9.369,6.514,4.062,5.156,1.907,7.294,6.134,4.37
Lausanne, Switzerland,Europe,4.076,1,3.822,3.308,6.514,5.858,8.888,8.032,7.352,6.622,8.81,6.552,6.429,4.146,4.222,8.454,5.338,5.85
