UA_Name,UA_Country,UA_Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors,Overall Rating
Leeds, United Kingdom,Europe,6.811,5.363,3.36,4.423,6.595,5.106,8.992,7.731,8.634,4.982,5.922,5.438,5.954,7.329,3.744,7.214,1.296,5.82
Leipzig, Germany,Europe,8.177,5.911,2.706,0,4.337,6.014,9.072,7.277,7.3,4.307,9.033,5.374,3.904,5.647,4.526,7.194,4.747,5.62
Lille, France,Europe,7.532,5.399,3.258,2.381,6.02,2.294,8.088,6.942,9.071,4.394,4.24,4.204,2.648,3.827,5.11,7.203,2.293,4.99
Lima, Peru,South America,8.712,8.496,3.884,1.65,2.012,4.759,5.002,5.29,5.711,0.5,2.481,3.163,6.524,2.41,6.808,6.08,5.388,4.64
Lisbon, Portugal,Europe,6.734,7.004,6.022,3.194,4.191,5.316,8.239,8.438,7.86,4.48,6.412,3.483,4.158,6.394,7.834,9.597,5.691,6.18
Liverpool, United Kingdom,Europe,7.485,6.02,3.559,2.355,6.65,4.541,8.992,7.728,9.028,4.872,7.275,5.438,5.954,8.994,5.393,7.451,5.459,6.31
Ljubljana, Slovenia,Europe,8.214,6.749,4.088,1.23,2.293,5.699,7.677,8.953,7.672,4.852,8.662,4.72,4.81,5.49,4.799,8.184,1.822,5.64
London, United Kingdom,Europe,1,3.94,10,9.859,9.402,5.396,8.992,7.244,8.018,9.027,5.548,5.438,5.954,5.846,9.456,6.573,5.374,6.89
Omaha,United States,North America,7.041,5.994,4.012,0,1.416,2.128,8.671,5.552,6.894,4.128,7.876,6.514,4.204,6.306,4.942,5.801,4.181,5.04
Las Vegas,United States,North America,7.001,5.759,7.515,2.022,3.528,4.807,8.671,2.385,5.635,3.624,5.557,6.514,4.772,5.304,6.368,7.275,5.385,5.42
Luxembourg, Luxembourg,Europe,2.453,3.411,3.308,1.899,4.58,5.844,7.857,8.628,8.22,3.48,8.576,7.473,7.151,5.458,4.496,8.804,1.475,5.48
Lviv, Ukraine,Europe,9.778,10,4.204,0,3.762,5.485,4.525,7.822,4.87,0,4.825,1.276,5.478,5.056,7.058,6.716,4.436,5.02
Lyon, France,Europe,6.697,4.349,4.5,3.083,5.963,5.185,8.088,7.134,8.642,4.58,6.543,4.204,2.648,9.403,5.988,6.517,5.374,5.82
Albuquerque,United States,North America,7.262,6.059,3.772,1.493,1.456,5.056,8.671,1.344,6.43,4.152,7.32,6.514,4.346,5.396,4.89,7.028,3.516,4.98
Madrid, Spain,Europe,6.414,6.249,0,4.79,5.856,5.286,7.12,7.792,8.916,4.292,5.566,4.296,3.894,6.241,9.338,7.665,6.22,5.88
Malaga, Spain,Europe,8.052,7.375,2.458,0,4.36,5.783,7.12,7.693,8.656,3.759,8.108,4.296,3.894,6.19,6.389,7.5,5.784,5.73
Malmo, Sweden,Europe,7.263,5.57,3.645,2.683,4.768,5.647,9.569,6.598,8.215,3.893,9.206,5.694,2.75,8.22,2.344,5.304,4.524,5.64
Managua, Nicaragua,North America,4.786,0,1.866,0,0.608,0,4.6,7.775,6.404,0,3.34,3.94,3.254,1.177,1.837,9.239,1.434,2.96
Manchester, United Kingdom,Europe,6.456,5.049,5.77,4.908,6.398,4.728,8.992,6.772,8.519,5.652,4.363,5.438,5.954,5.814,4.975,6.677,3.676,5.89
Manila, Philippines,Asia,8.596,8.752,4.805,3.547,2.634,3.713,4.592,6.434,4.298,0,1.683,5.006,4.303,4.608,7.584,5.503,4.826,4.76
Marseille, France,Europe,7.588,6.026,3.31,2.843,5.951,5.861,8.088,5.252,8.844,4.442,3.942,4.204,2.648,5.542,5.443,6.174,5.184,5.37
Medellin, Colombia,South America,9.232,9.315,4.618,0,0.928,5.354,6.349,7.477,6.791,1.531,6.171,4.594,1.852,4.148,5.029,9.302,3.662,5.08
Melbourne, Australia,Oceania,4.83,4.798,8.204,5.02,2.847,4.872,9.4,7.132,8.016,6.22,7.891,6.07,4.588,5.896,6.461,7,6.203,6.20
Buffalo,United States,North America,7.076,5.228,3.947,2.715,1.511,2.154,8.671,7.188,6.457,4.212,8.329,6.514,3.92,6.758,4.32,7.404,4.646,5.36
Mexico City, Mexico,North America,8.36,9.244,7.48,2.634,2.87,3.806,5.761,5.464,6.38,1.713,2.506,3.5,4.334,5.841,9.962,7.089,3.914,5.34
New York,United States,North America,1,2.342,10,10,6.675,5.519,8.671,7.022,6.105,8.094,5.234,6.514,3.92,7.098,10,6.712,5.748,6.51
Milan, Italy,Europe,5.195,4.801,5.19,3.286,6.683,5.512,6.19,7.378,8.445,4.283,4.458,3.362,2.436,5.014,7.917,7.22,5.641,5.47
Rochester,United States,North America,6.727,5.488,4.336,1.505,1.398,1.908,8.671,5.899,6.106,4.495,5.935,6.514,3.92,5.551,5.335,5.902,4.404,4.95
Asheville,United States,North America,5.856,5.311,3.54,0,1.21,1.358,8.671,5.853,6.725,3.624,8.493,6.514,4.062,4.788,5.063,7.73,2.266,4.77
Minsk, Belarus,Europe,9.496,9.289,4.378,0,3.766,5.366,5.596,9.038,5.511,0.5,7.048,3.204,5.926,4.863,6.95,7.422,4.906,5.49
Montevideo, Uruguay,South America,8.183,6.197,2.863,2.205,1.183,5.288,7.944,5.974,6.655,1.69,4.545,4.416,4.828,2.178,4.946,9.71,5.178,4.94
Montreal, Canada,North America,7.392,5.948,8.103,5.773,3.443,5.107,8.966,7.822,7.395,7.299,7.722,5.841,7.275,4.478,6.918,8.193,5.303,6.65
Moscow, Russia,Europe,6.555,8.099,5.053,3.705,9.054,4.546,5.387,7.478,4.763,4.572,5.275,3.148,6.017,6.571,8.875,3.475,5.09,5.74
Mumbai, India,Asia,8.124,9.825,9.853,6.179,5.414,3.94,3.618,7.619,3.802,0.528,2.096,5.556,3.414,3.429,4.968,3.839,5.792,5.18
Munich, Germany,Europe,4.23,4.648,6.915,6.509,8.057,6.014,9.072,9.049,8.371,7.554,9.018,5.374,3.904,5.155,7.336,8.474,7.331,6.88
Nairobi, Kenya,Africa,8.85,8.432,6.026,4.601,2.314,4.069,3.246,5.972,3.598,0.5,3.199,4.377,5.084,1.889,2.67,2.579,4.05,4.20
Nantes, France,Europe,7.722,5.021,3.353,2.23,4.989,5.998,8.088,7.636,8.533,4.405,7.323,4.204,2.648,4.867,4.351,7.056,2.672,5.36
Naples, Italy,Europe,8.215,5.81,2.041,0,3.941,4.706,6.19,6.39,7.186,4.058,1.656,3.362,2.436,5.314,6.045,6.754,5.359,4.67
Charlotte,United States,North America,5.549,4.987,6.248,2.878,3.679,4.134,8.671,5.347,6.432,3.624,8.009,6.514,4.062,6.387,5.606,6.79,1.312,5.31
Raleigh,United States,North America,6.129,5.61,5.497,5.157,1.757,4.784,8.671,6.522,6.677,7.116,8.584,6.514,4.062,7.952,6.613,7.562,3.391,6.04
Cincinnati,United States,North America,6.678,6.108,6.1,2.709,1.926,4.744,8.671,4.975,6.346,4.28,7.11,6.514,3.92,6.512,6.118,5.299,3.608,5.39
Nice, France,Europe,6.498,4.475,3.098,2.603,6.46,6.051,8.088,7.234,8.33,4.405,6.423,4.204,2.648,6.472,4.78,6.467,5.526,5.52
Nicosia, Cyprus,Europe,8.631,6.301,3.407,0,1.606,5.491,7.439,8.103,6.759,2.475,3.672,2.996,7.508,2.654,6.949,7.506,1.776,4.90
Cleveland,United States,North America,7.156,5.595,4.961,3.646,2.078,4.421,8.671,3.637,6.756,4.618,7.25,6.514,3.92,5.477,5.697,4.775,4.669,5.28
Columbus,United States,North America,6.29,5.746,5.879,4.973,1.663,5.027,8.671,5.282,6.406,5.047,8.166,6.514,3.92,4.554,6.466,5.922,4.545,5.59
Oklahoma City,United States,North America,7.261,6.394,4.138,0,1.399,5.027,8.671,4.686,5.977,3.624,7.615,6.514,4.204,7.689,5.376,6.022,4.129,5.22
Osaka, Japan,Asia,7.832,4.819,2.668,2.144,6.201,5.255,8.418,10,8.705,5.589,5.327,3.724,6.033,3.724,7.226,7.19,5.188,5.88
Oslo, Norway,Europe,3.768,1.038,5.209,3.869,5.177,5.775,9.635,7.107,7.91,5.145,8.424,7.074,4.752,7.97,5.899,7.03,6.19,6.00
Ottawa, Canada,North America,6.7,6.027,6.055,2.612,1.532,5.405,8.966,8.448,8.011,5.424,9.292,5.841,7.275,6.267,6.092,8.63,5.318,6.35
Oulu, Finland,Europe,3.744,0,2.314,2.575,2.716,6.041,9.451,8.459,7.701,5.454,8.933,3.921,4.878,5.723,2.006,8.329,5.072,5.14
Oxford, United Kingdom,Europe,3.65,4.941,4.551,3.843,7.926,5.958,8.992,8.568,7.97,6.638,7.554,5.438,5.954,6.155,5.495,8.258,2.629,6.15
Eugene,United States,North America,6.713,5.021,3.087,1.964,1.192,5.627,8.671,6.172,6.567,4.174,8.231,6.514,3.92,4.756,2.956,8.97,3.533,5.18
Panama, Panama,North America,3.153,0,3.559,0,2.002,0,6.209,6.976,6.593,0,4.384,6.041,6.948,3.19,5.556,6.786,4.82,3.90
Paris, France,Europe,3.584,3.664,9.276,7.513,10,5.331,8.088,6.246,8.208,7.085,4.362,4.204,2.648,9.716,9.816,5.579,4.433,6.46
Perth, Australia,Oceania,5.233,4.795,5.127,3.102,2.11,4.695,9.4,7.104,8.059,5.143,8.133,6.07,4.588,4.178,4.512,7.471,5.684,5.61
Portland,United States,North America,4.138,4.924,6.957,5.899,2.24,4.908,8.671,5.18,6.318,4.216,8.46,6.514,3.92,5.969,6.22,8.159,6.304,5.82
Phnom Penh, Cambodia,Asia,8.552,8.001,1.498,0,1.24,4.68,1,6.684,2.984,0,2.448,5.38,7.984,3.395,5.407,6.031,3.433,4.04
Philadelphia,United States,North America,4.207,4.422,7.362,5.216,3.556,4.132,8.671,3.133,6.483,6.028,5.124,6.514,3.778,7.443,8.492,5.865,4.115,5.56
Phuket, Thailand,Asia,8.823,7.602,2.244,0,1.808,4.504,5.604,5.728,6.654,1.187,3.624,2.387,6.795,3.615,4.814,5.156,4.626,4.42
Pittsburgh,United States,North America,5.964,4.795,6.508,3.581,1.738,4.308,8.671,4.791,6.4,6.594,6.874,6.514,3.778,8.67,6.859,7.39,4.068,5.74
San Juan,United States,North America,7.428,5.98,1.428,0,1.38,1.142,3.173,5.121,4.363,0,4.493,0,4.397,4.273,6.84,3.66,5.324,3.47
Providence,United States,North America,3.153,0,3.764,1,3.018,2.422,8.671,6.846,6.515,5.302,5.9,6.514,4.204,8.934,3.919,7.49,1.084,4.63
Porto, Portugal,Europe,8.11,7.422,4.313,1.886,3.112,5.46,8.239,7.705,8.167,4.449,7.039,3.483,4.158,4.494,5.625,9.574,5.948,5.83
Porto Alegre, Brazil,South America,9.221,8.12,2.67,0,0.966,5.105,2.781,5.296,5.56,1.017,4.14,2.187,2.852,2.196,7.704,7.448,4.922,4.25
Prague, Czechia,Europe,7.43,7.569,5.78,2.302,5.482,5.847,6.213,8.66,7.881,4.238,7.014,4.378,5.934,6.09,8.465,8.198,4.901,6.26
Charleston,United States,North America,4.637,3.567,4.92,2.011,1.399,4.621,8.671,5.056,6.78,3.624,7.276,6.514,4.062,6.093,6.595,5.771,5.01,5.09
Quebec, Canada,Europe,8.518,6.037,3.735,2.237,1.382,5.28,8.966,9.16,8.131,5.42,7.316,5.841,7.275,3.298,5.637,8.622,4.719,5.97
Quito, Ecuador,South America,9.016,7.822,2.858,0,0.89,4.789,3.021,6.969,6.406,0,4.176,3.886,7.514,3.482,4.802,8.826,5.5,4.70
Chattanooga,United States,North America,6.782,6.121,3.91,2.228,1.21,0.797,8.671,4.468,6.243,3.624,7.152,6.514,4.772,8.365,4.162,4.792,3.908,4.92
Reykjavik, Iceland,Europe,2.772,1,3.168,2.875,1.135,5.475,9.36,8.658,8.079,4.057,8.624,5.283,4.466,6.742,5.02,9.565,4.804,5.36
Knoxville,United States,North America,6.975,6.447,3.516,0,1.379,1.943,8.671,5.13,6.422,4.212,3.723,6.514,4.772,7.092,4.496,5.402,1.752,4.61
Riga, Latvia,Europe,8.933,7.329,4.35,1.358,2.372,5.353,7.363,7.626,5.71,4.091,6.966,4.095,5.929,5.841,7.706,6.884,5.526,5.73
Rio De Janeiro, Brazil,South America,8.32,7.751,4.823,2.414,1.493,4.553,4.037,5.296,4.85,1.018,3.323,2.187,2.845,2.338,8.668,5.772,6.152,4.46
Riyadh, Saudi Arabia,Asia,8.696,7.806,3.692,2.022,2.46,4.753,6.104,7.583,6.086,0.503,3.351,7.042,10,4.13,5.844,2.909,0.5,4.91
Memphis,United States,North America,7.115,5.829,4.449,0,1.662,1.918,8.671,2.859,4.951,3.624,4.545,6.514,4.772,6.07,6.86,4.041,3.57,4.56
Rome, Italy,Europe,5.602,5.323,4.674,1.013,6.434,4.533,6.19,6.605,7.864,4.157,4.276,3.362,2.436,4.491,9.11,6.222,6.396,5.22
Rotterdam, Netherlands,Europe,6.044,4.934,4.43,2.83,8.18,5.967,8.837,8.268,8.329,4.307,7.087,5.053,4.955,5.853,5.427,8.28,4.281,6.06
Saint Petersburg, Russia,Europe,8.36,8.673,4.982,0,5.88,4.626,5.547,7.793,4.952,4.282,4.324,3.148,6.044,5.642,9.654,4.338,5.385,5.51
Nashville,United States,North America,4.454,5.742,6.06,3.569,1.908,4.501,8.671,5.078,5.953,4.733,7.056,6.514,4.772,6.637,7.02,6.808,1.274,5.34
Austin,United States,North America,4.334,5.355,9.236,6.939,1.852,4.33,8.671,5.069,6.282,5.315,7.031,6.514,4.772,9.049,6.698,6.79,3.909,6.01
Dallas,United States,North America,5.259,6.091,7.94,4.916,4.746,4.47,8.671,4.339,6.087,4.284,6.693,6.514,4.772,6.461,7.168,5.294,4.502,5.78
Houston,United States,North America,5.225,6.162,7.934,4.474,4.339,4.031,8.671,3.129,6.379,4.928,5.305,6.514,4.772,6.248,7.144,5.34,5.386,5.65
San Jose, Costa Rica,North America,8.164,6.728,3.822,0,1.192,3.834,5.95,6.709,7.433,1.21,5.256,4.081,5.752,1.516,6.867,8.939,2.786,4.72
San Antonio,United States,North America,6.402,6.683,5.356,3.53,1.682,4.965,8.671,4.216,6.307,4.152,6.201,6.514,4.772,8.074,6.696,6.254,3.419,5.52
Salt Lake City,United States,North America,6.141,6.172,6.3,7.09,2.737,4.574,8.671,5.657,6.246,4.28,6.216,6.514,4.204,6.811,5.932,8.622,6.641,6.05
San Salvador, El Salvador,North America,8.802,7.743,1.67,0,1.06,4.686,4.661,5.402,5.559,0,1.001,2.659,5.526,1.831,4.858,6.128,1.918,3.74
Santiago, Chile,South America,8.382,7.237,6.23,1,2.536,5.551,7.765,6.964,7.066,2.642,4.528,3.725,8.93,1,7.556,7.172,5.5,5.52
Santo Domingo, Dominican Republic,North America,9.289,8.076,2.228,0,1.003,4.565,4.413,5.779,5.026,0.5,2.38,6.114,5.768,4.221,5.797,5.11,3.418,4.33
Sao Paulo, Brazil,South America,8.316,7.823,6.623,4.253,2.266,4.412,2.781,5.296,5.372,1.104,2.654,2.187,2.852,3.39,8.789,6.896,7.078,4.83
Sarajevo, Bosnia and Herzegovina,Europe,9.692,8.659,2.584,0,1.207,5.708,2.58,7.133,6.526,0,3.666,2.088,9.118,4.648,5.934,7.736,2.871,4.71
Saskatoon, Canada,North America,7.16,5.042,3.114,0,1.259,5.806,8.966,6.638,7.514,5.344,7.758,5.841,7.275,4.89,1,7.336,0.5,5.03
Richmond,United States,North America,6.44,5.949,4.27,2.097,1.38,5.648,8.671,3.376,6.488,3.624,6.622,6.514,4.204,7.645,6.338,7.151,1.035,5.14
Seoul, South Korea,Asia,6.143,3.698,5.284,4.066,6.156,5.719,8.279,8.305,8.549,6.866,6.787,5.561,6.608,7.637,8.2,4.484,5.776,6.36
Seville, Spain,Europe,8.096,6.961,1.148,0,3.477,5.567,7.12,8.93,8.221,4.26,7.221,4.296,3.894,6.19,7.416,9.265,3.033,5.59
Shanghai, China,Asia,5.744,7.179,5.726,9.288,6.862,5.084,3.896,7.208,6.206,5.7,2.839,6.103,1.496,2.636,6.693,2.741,5.717,5.36
Singapore, Singapore,Asia,1.745,3.489,9.103,8.697,2.982,5.427,9.725,9.972,7.683,8.246,7.954,7.479,9.959,8.447,7.422,6.495,5.834,7.10
Skopje, Macedonia,Europe,9.741,9.11,2.994,0,1.678,5.736,6.882,7.28,6.629,0.5,2.649,4.123,9.475,4.52,6.208,4.29,3.302,5.01
Sofia, Bulgaria,Europe,9.306,8.55,4.691,3.155,2.666,5.622,5.295,7.55,5.587,2.014,4.999,3.25,8.721,6.273,5.318,6.741,4.056,5.52
Seattle,United States,North America,2.291,3.79,8.367,7.551,2.884,4.524,8.671,5.636,6.31,5.714,7.56,6.514,4.772,4.94,8.116,8.089,7.209,6.06
Stockholm, Sweden,Europe,4.865,4.36,6.267,6.229,6.226,5.686,9.569,6.886,8.039,6.668,8.992,5.694,2.75,7.614,6.797,5.72,4.494,6.29
Stuttgart, Germany,Europe,6.314,5.673,3.756,1.936,5.964,6.205,9.072,8.27,7.851,5.05,7.225,5.374,3.904,5.124,5.556,7.533,3.95,5.81
Sydney, Australia,Oceania,1.986,4.128,8.727,6.427,3.285,4.851,9.4,7.571,8.034,6.726,7.817,6.07,4.588,4.736,6.228,7.033,6.264,6.11
Taipei, Taiwan,Asia,7.977,5.644,5.469,2.781,2.51,5.606,8.342,9.542,5.905,5.59,6.236,6.636,7.333,5.232,7.264,8.044,5.588,6.22
Tallinn, Estonia,Europe,8.377,6.931,5.356,5.829,1.97,5.933,8.129,9.426,7.366,5.355,7.826,4.185,5.341,5.202,7.024,7.839,4.536,6.27
Madison,United States,North America,5.83,6.173,4.017,2.913,1.23,5.474,8.671,7.362,7.007,5.386,9.524,6.514,4.204,4.992,4.422,7.9,4.376,5.65
Tampere, Finland,Europe,6.936,4.622,2.606,2.549,2.848,6.35,9.451,8.689,8.316,5.39,8.922,3.921,4.878,5.792,4.187,8.291,4.571,5.78
Tartu, Estonia,Europe,8.961,7.47,2.778,0,1.414,6.441,8.129,9.376,8.395,5.404,9.416,4.185,5.341,4.3,4.081,7.483,3.499,5.69
Tashkent, Uzbekistan,Asia,5,0,1.783,0,2.738,0,5.175,8.904,3.693,0,6.555,5.538,6.014,1.243,3.176,6.17,4.242,3.54
Tbilisi, Georgia,Europe,9.49,9.765,3.149,0,2.251,5.644,7.863,9.506,5.052,0.862,3.197,4.252,8.055,4.087,4.919,8.197,5.478,5.40
Tehran, Iran,Asia,8.303,9.544,4.387,0,3.175,3.8,4.343,6.793,5.312,0.51,2.942,3.944,4.052,1.576,6.521,4.222,5.5,4.41
Tel Aviv, Israel,Asia,4.91,4.37,7.326,9.16,3.345,4.994,6.79,8.007,8.338,3.767,6.027,5.026,6.918,2.566,5.334,5.516,5.412,5.75
The Hague, Netherlands,Europe,6.053,4.653,3.864,1.107,8.001,5.061,8.837,8.789,8.214,4.307,8.284,5.053,4.955,6.514,5.014,8.553,4.924,6.01
Thessaloniki, Greece,Europe,9.378,6.6,3.25,0,2.26,5.914,6.169,7.992,7.509,3.164,3.338,3.32,4.166,2.596,7.689,7.523,4.665,5.03
Tokyo, Japan,Asia,5.657,3.431,6.297,3.963,8.152,6.008,8.378,10,8.826,6.981,5.956,3.724,6.033,4.835,9.342,7.195,6.522,6.55
Toronto, Canada,North America,4.66,5.271,9.981,7.602,4.335,4.683,8.966,7.694,8.064,7.603,7.178,5.841,7.275,4.383,7.826,7.928,5.594,6.76
Toulouse, France,Europe,7.544,4.552,3.577,2.042,5.126,5.068,8.088,6.967,8.832,4.442,5.08,4.204,2.648,4.622,4.137,7.634,3.304,5.17
Tunis, Tunisia,Africa,9.968,9.998,2.969,0,2.608,5.615,6.622,8.292,6.293,0.5,3.28,3.092,2.599,1.072,5.743,4.727,5.366,4.63
Turin, Italy,Europe,8.07,5.612,3.25,0,3.15,5.609,6.19,6.252,8.368,4.102,3.886,3.362,2.436,2.369,7.061,5.777,5.705,4.78
Turku, Finland,Europe,7.534,5.07,1.88,1.773,3.224,6.728,9.451,9.176,8.713,5.347,9.105,3.921,4.878,6.682,5.098,7.751,4.538,5.93
Uppsala, Sweden,Europe,7.16,5.442,1.428,0,4.748,5.975,9.569,7.85,8.153,5.204,8.582,5.694,2.75,5.854,3.427,6.951,3.466,5.43
Utrecht, Netherlands,Europe,5.466,4.604,3.915,1.929,8.072,5.99,8.837,8.631,8.394,5.592,8.095,5.053,4.955,6.676,5.373,8.566,4.696,6.17
Valencia, Spain,Europe,8.136,6.872,1.747,2.583,3.484,5.809,7.12,7.786,8.886,4.266,5.942,4.296,3.894,9.14,7.078,7.935,6.332,5.96
Valletta, Malta,Europe,3.153,0,3.91,2.148,1.889,0,5.377,8.518,8.107,2.82,3.776,5.54,5.783,3.202,5.827,7.563,4.717,4.25
Vancouver, Canada,North America,4.081,5.259,8.17,5.842,2.771,4.937,8.966,7.57,8.038,6.889,8.423,5.841,7.275,4.551,5.717,8.295,7.4,6.47
Victoria, Canada,North America,5.696,5.703,4.479,2.719,1.494,5.226,8.966,7.808,7.693,5.382,9.295,5.841,7.275,6.195,4.523,8.782,4.356,5.97
Vienna, Austria,Europe,6.314,5.111,5.798,3.635,8.031,6.213,7.596,8.596,8.198,4.855,9.27,4.663,2.666,6.173,8.522,8.964,5.294,6.46
Vilnius, Lithuania,Europe,8.621,7.576,4.223,2.828,2.105,5.928,7.6,8.857,6.331,3.7,8.718,4.691,6.592,7.926,5.199,7.393,4.106,6.02
Warsaw, Poland,Europe,7.87,8.192,6.122,1.853,3.864,5.203,5.704,8.7,6.882,4.669,6.389,4.762,5.097,6,7.336,4.636,4.961,5.78
Milwaukee,United States,North America,6.122,5.526,4.83,2.005,1.588,4.915,8.671,4.267,6.082,4.177,7.989,6.514,4.204,4.346,6.838,4.844,5.064,5.18
Wellington, New Zealand,Oceania,5.134,5.161,2.472,1.753,0.852,6.04,10,8.223,8.078,4.756,9.609,5.506,5.932,5.174,4.599,8.116,6.397,5.75
Winnipeg, Canada,North America,7.553,5.882,3.796,0,1.475,5.105,8.966,6.016,7.756,5.344,5.675,5.841,7.275,4.903,4.688,6.659,4.243,5.36
Wroclaw, Poland,Europe,8.452,8.434,3.586,2.386,2.244,4.955,5.704,8.166,6.781,4.162,4.965,4.762,5.097,5.762,4.75,3.904,4.085,5.19
Yerevan, Armenia,Asia,9.694,9.431,3.926,0,1.787,5.649,6.501,8.873,5.102,0,4.44,3.458,8.055,3.9,4.737,7.347,7.776,5.33
Zagreb, Croatia,Europe,8.91,7.194,4.453,1.775,2.028,4.83,5.72,8.658,7.266,3.211,7.332,2.236,7.993,5.034,4.994,7.955,4.809,5.55
Zurich, Switzerland,Europe,1.473,1,6.204,3.872,7.733,5.839,8.888,9.066,7.67,7.288,8.643,6.552,6.429,7.268,4.966,8.784,5.401,6.30
