UA_Name,UA_Country,UA_Continent,Venture Capital,Business Freedom,Economy,Taxation,Macroeconomic Overall,Internet Access,Leisure & Culture,Outdoors,Tolerance,Recreational Overall,Housing,Cost of Living,Safety,Environmental Quality,Residential Overall,Overall Rating
Aarhus, Denmark,Europe,2.512,9.94,4.887,5.068,5.60175,8.373,3.187,4.13,9.739,6.35725,6.132,4.015,9.617,7.633,6.84925,6.269416667
Adelaide, Australia,Oceania,2.64,9.4,6.07,4.588,5.6745,4.341,4.328,5.531,7.822,5.5055,6.31,4.692,7.926,8.331,6.81475,5.99825
Birmingham,United States,North America,1,8.671,6.514,4.204,5.09725,5.16,5.384,1.266,4.882,4.173,6.556,5.133,1.776,7.038,5.12575,4.798666667
Almaty, Kazakhstan,Asia,0,5.568,5.269,8.522,4.83975,2.886,2.937,5.5,6.54,4.46575,9.282,9.333,7.309,3.857,7.44525,5.583583333
Amsterdam, Netherlands,Europe,6.107,8.837,5.053,4.955,6.238,4.523,8.874,5.307,8.368,6.768,3.053,3.824,8.504,7.597,5.7445,6.250166667
Anchorage,United States,North America,0,8.671,6.514,4.772,4.98925,4.964,3.266,5.358,7.093,5.17025,5.434,3.141,3.47,9.272,5.32925,5.162916667
Andorra,Andorra,Europe,0,0,0,4.475,1.11875,7.186,2.132,3.588,8.704,5.4025,3.969,0,9.554,7.256,5.19475,3.905333333
Ankara, Turkey,Asia,0,5.948,4.094,4.323,3.59125,2.316,8.638,5.146,4.486,5.1465,9.928,9.125,7.425,2.936,7.3535,5.36375
Phoenix,United States,North America,4.558,8.671,6.514,4.488,6.05775,6.178,6.81,6.736,5.565,6.32225,6.533,6.208,2.583,4.625,4.98725,5.789083333
Asuncion, Paraguay,South America,0,3.684,4.109,8.423,4.054,1.479,5.992,3.485,7.051,4.50175,9.226,9.295,6.934,3.969,7.356,5.303916667
Athens, Greece,Europe,2.325,6.169,3.32,4.166,3.995,2.228,7.876,6.483,6.268,5.71375,9.052,6.5,6.758,3.802,6.528,5.41225
Los Angeles,United States,North America,10,8.575,6.514,4.768,7.46425,5.497,9.196,6.747,6.96,7.1,1.528,4.556,5.705,4.732,4.13025,6.2315
Auckland, New Zealand,Oceania,2.79,10,5.506,5.932,6.057,6.85,4.396,5.862,7.402,6.1275,4.72,4.47,7.022,8.272,6.121,6.101833333
Palo Alto,United States,North America,9.623,8.671,6.514,4.488,7.324,7.142,0,1.75,8.454,4.3365,0.5,0,7.637,6.727,3.716,5.1255
Baku, Azerbaijan,Asia,0,5.672,3.876,5.861,3.85225,1.442,6.22,4.503,6.585,4.6875,9.745,9.806,8.772,2.621,7.736,5.42525
Bali, Indonesia,Asia,0,3.912,4.658,6.266,3.709,3.238,6.334,7.5,4.559,5.40775,5,0,8.748,4.138,4.4715,4.529416667
San Diego,United States,North America,8.595,8.671,6.514,4.488,7.067,5.999,8.21,6.396,8.54,7.28625,2.934,5.156,6.933,7.267,5.5725,6.641916667
Bangkok, Thailand,Asia,3.453,5.604,2.387,6.795,4.55975,4.826,9.089,6.494,6.019,6.607,7.394,7.222,7.036,3.371,6.25575,5.8075
Barcelona, Spain,Europe,5.655,7.12,4.296,3.894,5.24125,6.468,8.591,5.828,7.472,7.08975,6.323,6.074,7.407,3.666,5.8675,6.066166667
Beijing, China,Asia,9.562,3.815,6.103,1.426,5.2265,3.493,7.268,4.944,2.822,4.63175,6.173,8.101,7.066,2.056,5.849,5.23575
Beirut, Lebanon,Asia,0,4.329,3.435,8.28,4.011,1.59,3.4,3.842,4.184,3.254,6.656,6.3,6.833,1.449,5.3095,4.1915
Belfast, United Kingdom,Europe,1.621,8.992,5.438,5.954,5.50125,5.596,4.957,1.413,5.98,4.4865,7.532,6.014,7.679,8.378,7.40075,5.796166667
Belgrade, Serbia,Europe,2.333,5.384,1.638,4.166,3.38025,3.863,6.497,5.078,7.387,5.70625,9.258,8.546,6.7,4.883,7.34675,5.47775
Belize City, Belize,North America,0,3.411,3.496,6.93,3.45925,3.808,1.064,0.5,6.865,3.05925,4.642,0,6.052,2.031,3.18125,3.23325
Bengaluru, India,Asia,8.973,3.618,5.556,3.414,5.39025,2.841,3.222,2.385,3.484,2.983,9.811,10,7.294,2.756,7.46525,5.2795
Bergen, Norway,Europe,1,9.635,7.074,4.752,5.61525,6.537,4.488,4.314,7.614,5.73825,5.229,1.805,7.708,7.539,5.57025,5.64125
Berlin, Germany,Europe,7.82,9.072,5.374,3.904,6.5425,4.678,8.881,5.475,7.177,6.55275,6.395,5.524,7.252,6.772,6.48575,6.527
Bern, Switzerland,Europe,0,8.888,6.552,6.429,5.46725,6.115,4.245,2.122,8.589,5.26775,4.923,1,9.266,9.244,6.10825,5.614416667
Bilbao, Spain,Europe,0,7.12,4.296,3.894,3.8275,5.756,6.014,1.481,8.663,5.4785,6.888,5.638,8.78,8.328,7.4085,5.5715
Birmingham, United Kingdom,Europe,2.541,8.992,5.438,5.954,5.73125,5.94,4.435,1.268,6.421,4.516,5.904,5.814,6.947,5.738,6.10075,5.449333333
San Francisco Bay Area,United States,North America,10,8.671,6.514,4.488,7.41825,5.606,9.407,7.014,8.013,7.51,1,2.618,5.716,6.482,3.954,6.294083333
Bogota, Colombia,South America,1.259,6.349,4.594,1.852,3.5135,2.976,6.215,7.477,8.555,6.30575,9.028,9.08,6.222,4.348,7.1695,5.662916667
San Luis Obispo,United States,North America,3.077,8.671,6.514,4.488,5.6875,7.936,2.776,1.508,9.666,5.4715,1.724,0,8.058,7.392,4.2935,5.150833333
Bologna, Italy,Europe,1.397,6.19,3.362,2.436,3.34625,7.71,5.736,1.582,7.618,5.6615,7.472,5.189,7.337,5.46,6.3645,5.124083333
Bordeaux, France,Europe,0,8.088,4.204,2.648,3.735,3.875,5.3,2.876,7.126,4.79425,7.192,4.583,7.466,7.261,6.6255,5.051583333
Boulder,United States,North America,6.019,8.671,6.514,4.346,6.3875,6.278,2.565,6.699,9.275,6.20425,3.704,4.531,7.074,9.844,6.28825,6.293333333
Colorado Springs,United States,North America,2.147,8.671,6.514,4.346,5.4195,5.922,3.812,7.356,9.206,6.574,6.5,5.375,5.378,8.527,6.445,6.146166667
Denver,United States,North America,6.117,8.671,6.514,4.346,6.412,5.419,6.224,7.933,7.86,6.859,3.838,5.102,5.371,7.117,5.357,6.209333333
Bratislava, Slovakia,Europe,0,6.189,4.47,4.937,3.899,4.584,6.186,4.858,6.432,5.515,7.874,7.618,8.618,6.2,7.5775,5.663833333
Brighton, United Kingdom,Europe,0,8.992,5.438,5.954,5.096,4.758,4.87,4.898,8.17,5.674,2.49,5.324,8.472,8.246,6.133,5.634333333
Brisbane, Australia,Oceania,3.24,9.4,6.07,4.588,5.8245,4.408,4.01,6.257,7.49,5.54125,5.212,5.177,7.904,8.828,6.78025,6.048666667
Bristol, United Kingdom,Europe,3.593,8.992,5.438,5.954,5.99425,6.478,3.862,4.538,7.439,5.57925,5.216,5.242,7.94,6.472,6.2175,5.930333333
Brno, Czechia,Europe,0,6.213,4.378,5.934,4.13125,7.021,5.352,3.694,8.055,6.0305,8.329,7.926,8.566,6.055,7.719,5.96025
Brussels, Belgium,Europe,3.374,8.877,4.812,1.883,4.7365,7.572,8.144,4.123,6.481,6.58,6.355,4.477,6.703,4.591,5.5315,5.616
Bucharest, Romania,Europe,1.187,5.682,4.103,6.839,4.45275,9.638,6.959,1.968,8.687,6.813,9.187,8.516,8.986,3.419,7.527,6.26425
Budapest, Hungary,Europe,2.804,6.708,4.946,6.108,5.1415,6.759,8.253,5.112,7.228,6.838,8.57,7.948,8.218,5.288,7.506,6.495166667
Buenos Aires, Argentina,South America,2.31,4.045,2.884,1.568,2.70175,1.528,7.674,4.536,8.584,5.5805,8.812,7.764,6.04,4.869,6.87125,5.051166667
Fort Collins,United States,North America,0,8.671,6.514,4.346,4.88275,5.302,2.746,6.187,9.48,5.92875,2.745,0,6.935,9.953,4.90825,5.239916667
Cairo, Egypt,Africa,2.958,5.791,2.978,5.101,4.207,2.405,6.186,0.5,2.65,2.93525,10,10,6.791,1.156,6.98675,4.709666667
Calgary, Canada,North America,2.036,8.966,5.841,7.275,6.0295,5.671,4.268,7.504,8.11,6.38825,6.495,5.418,7.923,8.191,7.00675,6.474833333
Cambridge, United Kingdom,Europe,3.284,8.992,5.438,5.954,5.917,5.81,2.455,0.5,8.487,4.313,4.106,4.851,9.504,8.017,6.6195,5.6165
Cape Town, South Africa,Africa,3.725,4.732,2.768,5.151,4.094,5.613,4.736,6.751,3.66,5.19,6.764,7.955,5.328,6.608,6.66375,5.315916667
Caracas, Venezuela,South America,0,1,1.978,4.18,1.7895,1.642,4.38,4.098,4.55,3.6675,4.902,9.82,5.221,2.272,5.55375,3.67025
Cardiff, United Kingdom,Europe,1.78,8.992,5.438,5.954,5.541,5.101,5.028,4.806,7.996,5.73275,7.065,6.082,8.21,6.607,6.991,6.08825
Casablanca, Morocco,Africa,0,5.614,3.174,3.3,3.022,2.067,2.683,3.994,2.945,2.92225,8.822,9.088,6.776,2.256,6.7355,4.226583333
Washington,United States,North America,8.056,8.671,6.514,4.062,6.82575,3.826,10,5.023,6.55,6.34975,1.21,3.595,2.192,6.994,3.49775,5.55775
Jacksonville,United States,North America,2.545,8.671,6.514,4.772,5.6255,6.158,5.655,5.013,5.679,5.62625,6.45,5.359,3.826,7.12,5.68875,5.646833333
Miami,United States,North America,5.055,8.671,6.514,4.772,6.253,5.824,6.768,5.384,6.044,6.005,3.031,4.497,4.321,6.292,4.53525,5.59775
Chennai, India,Asia,3.782,3.618,5.556,3.414,4.0925,6.826,2.228,4.198,4.55,4.4505,10,10,7.837,2.395,7.558,5.367
Chiang Mai, Thailand,Asia,0,5.604,2.387,6.795,3.6965,4.286,6.848,3.088,6.872,5.2735,9.372,8.495,8.453,3.981,7.57525,5.515083333
Orlando,United States,North America,2.464,8.671,6.514,4.772,5.60525,4.886,5.93,4.493,5.784,5.27325,5.778,5.284,4.134,6.676,5.468,5.448833333
Chisinau, Moldova,Europe,0,5.443,3.977,6.232,3.913,5.362,2.712,3.121,6.647,4.4605,9.676,9.343,7.628,4.338,7.74625,5.37325
Christchurch, New Zealand,Oceania,0,10,5.506,5.932,5.3595,5.922,3.224,6.269,8.404,5.95475,6.934,5.096,7.585,9.256,7.21775,6.177333333
Tampa Bay Area,United States,North America,3.778,8.671,6.514,4.772,5.93375,7.195,6.434,5.497,5.36,6.1215,5.696,5.253,4.706,7.379,5.7585,5.937916667
Atlanta,United States,North America,7.257,8.671,6.514,4.204,6.6615,6.48,7.765,5.01,4.062,5.82925,4.976,5.241,2.672,5.818,4.67675,5.7225
Cluj-Napoca, Romania,Europe,1.899,5.682,4.103,6.839,4.63075,8.666,2.628,4.255,8.624,6.04325,9.165,8.794,9.474,6.401,8.4585,6.3775
Cologne, Germany,Europe,3.278,9.072,5.374,3.904,5.407,5.666,5.322,5.289,6.712,5.74725,6.526,5.607,6.63,6.48,6.31075,5.821666667
Honolulu,United States,North America,0,8.671,6.514,4.204,4.84725,6.158,7.623,5.918,7.774,6.86825,2.342,2.867,6.857,6.094,4.54,5.4185
Boise,United States,North America,2.596,8.671,6.514,4.062,5.46075,3.442,4.2,5.221,6.928,4.94775,6.964,6.578,4.36,8.07,6.493,5.633833333
Copenhagen, Denmark,Europe,4.467,9.94,4.887,5.068,6.0905,7.24,7.063,4.671,9.096,7.0175,4.227,3.426,9.152,8.272,6.26925,6.459083333
Cork, Ireland,Europe,2.87,8.346,7.515,6.255,6.2465,9.144,2.532,0.5,8.631,5.20175,5.515,4.902,8.84,8.013,6.8175,6.088583333
Curitiba, Brazil,South America,2.148,2.781,2.187,2.852,2.492,3.142,7.188,2.666,7.848,5.211,9.43,8.433,5.946,7.757,7.8915,5.198166667
Chicago,United States,North America,8.368,8.671,6.514,4.062,6.90375,6.599,8.193,5.416,6.134,6.5855,3.702,4.766,3.832,6.804,4.776,6.088416667
Dar es Salaam, Tanzania,Africa,3.191,3.289,5.5,4.497,4.11925,1.11,1.205,4.354,2.766,2.35875,7.652,8.026,6.1,2.08,5.9645,4.1475
Delhi, India,Asia,9.099,3.618,5.556,3.414,5.42175,3.588,5.683,1.178,3.116,3.39125,9.752,9.869,6.418,2.203,7.0605,5.291166667
Indianapolis,United States,North America,3.96,8.671,6.514,4.062,5.80175,5.876,7.299,3.965,6.87,6.0025,6.266,5.478,3.968,6.16,5.468,5.757416667
Des Moines,United States,North America,1.818,8.671,6.514,4.346,5.33725,5.698,6.066,3.3,8.476,5.885,6.851,6.327,6.984,8.682,7.211,6.144416667
Louisville,United States,North America,2.293,8.671,6.514,4.062,5.385,5.527,5.694,1.3,5.778,4.57475,7.258,6.358,3.618,6.601,5.95875,5.306166667
Doha, Qatar,Asia,0,7.408,9.39,10,6.6995,3.245,4.62,4.437,5.062,4.341,2.132,6.183,9.486,3.942,5.43575,5.492083333
Dresden, Germany,Europe,1.533,9.072,5.374,3.904,4.97075,5.604,6.638,4.649,7.369,6.065,7.885,6.028,8.464,8.111,7.622,6.21925
Dubai, United Arab Emirates,Asia,4.183,8.037,7.886,10,7.5265,3.151,4.67,5.798,5.427,4.7615,2.591,5.49,9.172,6.036,5.82225,6.03675
Dublin, Ireland,Europe,6.204,8.346,7.515,6.255,7.08,8.344,7.135,5.664,7.328,7.11775,2.512,4.005,7.121,6.502,5.035,6.410916667
Dusseldorf, Germany,Europe,2.23,9.072,5.374,3.904,5.145,5.666,4.664,5.358,7.868,5.889,6.282,5.134,8.166,7.375,6.73925,5.924416667
Edinburgh, United Kingdom,Europe,3.337,8.992,5.438,5.954,5.93025,5.176,7.201,5.131,7.922,6.3575,5.845,5.114,8.485,7.763,6.80175,6.363166667
Edmonton, Canada,North America,2.392,8.966,5.841,7.275,6.1185,4.61,3.974,3.385,7.925,4.9735,6.73,5.522,7.118,8.176,6.8865,5.992833333
Eindhoven, Netherlands,Europe,3.017,8.837,5.053,4.955,5.4655,7.659,4.334,4.628,9.342,6.49075,6.252,5.125,9.107,8.805,7.32225,6.426166667
New Orleans,United States,North America,1.21,8.671,6.514,4.346,5.18525,6.453,7.198,1,5.124,4.94375,5.339,4.992,2.088,5.674,4.52325,4.884083333
Florence, Italy,Europe,0,6.19,3.362,2.436,2.997,4.442,8.503,1.677,6.736,5.3395,6.775,4.649,7.972,6.009,6.35125,4.895916667
Florianopolis, Brazil,South America,0,2.781,2.187,2.852,1.955,3.185,5.33,5.751,7.638,5.476,9.06,8.331,6.525,4.944,7.215,4.882
Portland,United States,North America,0,8.671,6.514,4.062,4.81175,3.546,3.305,4.978,8.271,5.025,0,0,6.358,7.675,3.50825,4.448333333
Frankfurt, Germany,Europe,3.399,9.072,5.374,3.904,5.43725,4.079,6.492,5.384,7.034,5.74725,5.957,5.143,6.838,6.476,6.1035,5.762666667
Fukuoka, Japan,Asia,1.79,8.39,3.724,6.033,4.98425,4.575,5.86,5.682,7.259,5.844,4.01,0,9.945,7.916,5.46775,5.432
Galway, Ireland,Europe,2.556,8.346,7.515,6.255,6.168,7.637,1.115,3.712,8.7,5.291,6.276,4.927,8.89,7.519,6.903,6.120666667
Gdansk, Poland,Europe,0,5.704,4.762,5.097,3.89075,5.036,5.515,5.025,4.478,5.0135,8.508,8.127,8.04,7.795,8.1175,5.673916667
Geneva, Switzerland,Europe,3.089,8.888,6.552,6.429,6.2395,8.378,5.244,6.554,8.62,7.199,1.078,1,8.427,8.602,4.77675,6.07175
Gibraltar, Gibraltar,Europe,1.566,0,0,2.913,1.11975,4.296,2.235,4.756,4.426,3.92825,1.112,0,9.338,5.184,3.9085,2.9855
Glasgow, United Kingdom,Europe,1.182,8.992,5.438,5.954,5.3915,4.253,4.671,3.741,6.943,4.902,6.929,5.623,7.496,7.101,6.78725,5.693583333
Gothenburg, Sweden,Europe,3.725,9.569,5.694,2.75,5.4345,6.192,4.004,4.568,6.364,5.282,6.725,5.046,7.296,8.59,6.91425,5.876916667
Grenoble, France,Europe,1.852,8.088,4.204,2.648,4.198,3.758,3.178,4.646,5.05,4.158,7.505,4.317,5.888,6.151,5.96525,4.77375
Guadalajara, Mexico,North America,0,5.765,3.5,4.334,3.39975,4.093,7.657,3.477,8.158,5.84625,9.527,9.49,6.472,3.343,7.208,5.484666667
Guatemala City, Guatemala,North America,1.673,4.617,3.805,8.505,4.65,2.506,5.164,4.134,7.157,4.74025,8.812,8.175,6.139,3.758,6.721,5.370416667
Halifax, Canada,North America,2.284,8.966,5.841,7.275,6.0915,6.124,3.942,4.023,7.853,5.4855,6.895,4.943,7.189,7.618,6.66125,6.079416667
Hamburg, Germany,Europe,4.197,9.072,5.374,3.904,5.63675,5.56,6.352,5.088,7.163,6.04075,5.945,4.904,6.459,8.124,6.358,6.011833333
Hannover, Germany,Europe,0,9.072,5.374,3.904,4.5875,5.666,3.526,4.266,7.266,5.181,7.754,6,7.353,9.131,7.5595,5.776
Havana, Cuba,North America,0,1.643,2.55,0.5,1.17325,1.703,2.07,5.022,8.76,4.38875,9.089,7.608,8.634,3.862,7.29825,4.28675
Helsinki, Finland,Europe,5.507,9.451,3.921,4.878,5.93925,5.104,7.055,4.798,7.502,6.11475,5.396,4.121,8.674,9.301,6.873,6.309
Ho Chi Minh City, Vietnam,Asia,1.739,4.102,4.834,5.045,3.93,4.565,5.874,1.258,5.943,4.41,8.618,8.844,6.768,1.42,6.4125,4.9175
Hong Kong, Hong Kong,Asia,8.314,9.294,6.482,8.38,8.1175,6.228,7.058,5.796,7.152,6.5585,1,4.967,9.35,4.533,4.9625,6.546166667
Baltimore,United States,North America,4.358,5.502,6.514,4.062,5.109,4.988,0,3.98,5.755,3.68075,4.83,4.982,2.373,5.785,4.4925,4.427416667
Boston,United States,North America,10,8.671,6.514,4.062,7.31175,5.701,8.564,5.66,8.482,7.10175,1,4.259,7.742,8.171,5.293,6.568833333
Hyderabad, India,Asia,3.585,3.618,5.556,3.414,4.04325,5.54,4.271,3.209,4.132,4.288,10,10,8.126,2.841,7.74175,5.357666667
Detroit,United States,North America,5.184,8.671,6.514,3.778,6.03675,6.167,7.478,5.387,3.678,5.6775,6.223,6.032,4.462,4.047,5.191,5.635083333
Innsbruck, Austria,Europe,0,7.596,4.663,2.666,3.73125,5.06,4.424,3.964,8.485,5.48325,6.708,4.732,8.273,7.366,6.76975,5.328083333
Istanbul, Turkey,Asia,2.111,5.948,4.094,4.323,4.119,3.5,10,5.744,3.892,5.784,9.138,8.787,6.894,3.405,7.056,5.653
Minneapolis-Saint Paul,United States,North America,5.523,8.671,6.514,4.062,6.1925,6.258,6.85,5.096,7.288,6.373,4.739,5.042,5.085,8.362,5.807,6.124166667
Jakarta, Indonesia,Asia,6.437,4.029,4.658,6.266,5.3475,4.499,8.146,7.202,2.066,5.47825,8.671,8.471,7,2.486,6.657,5.827583333
Johannesburg, South Africa,Africa,1.467,4.732,2.768,5.151,3.5295,2.838,4.402,2.956,3.66,3.464,8.012,7.575,5.166,4.326,6.26975,4.421083333
Kansas City,United States,North America,3.538,8.671,6.514,4.062,5.69625,8.189,6.675,4.162,5.02,6.0115,6.708,5.844,4.423,7.976,6.23775,5.981833333
Karlsruhe, Germany,Europe,1.299,9.072,5.374,3.904,4.91225,4.594,3.986,4.589,8.337,5.3765,7.764,5.294,6.858,7.768,6.921,5.736583333
Kathmandu, Nepal,Asia,0,4.74,4.496,5.513,3.68725,2.201,5.039,3.798,9.129,5.04175,10,9.445,8.506,1,7.23775,5.32225
Kiev, Ukraine,Europe,2.545,4.525,1.276,5.478,3.456,6.041,8.42,5.349,6.827,6.65925,9.084,9.817,7.256,3.666,7.45575,5.857
Kingston, Jamaica,North America,0,6.568,1.83,6.073,3.61775,4.483,4.278,3.346,2.844,3.73775,8.896,5.937,5.528,3.02,5.84525,4.40025
St. Louis,United States,North America,3.885,8.671,6.514,4.062,5.783,8.909,7.643,4.828,4.376,6.439,6.958,5.504,3.881,7.374,5.92925,6.050416667
Krakow, Poland,Europe,2.11,5.704,4.762,5.097,4.41825,5.788,7.84,4.308,4.592,5.632,8.424,8.509,8.522,4.802,7.56425,5.8715
Kuala Lumpur, Malaysia,Asia,4.245,7.597,6.339,6.126,6.07675,5.462,7.166,5.739,1.528,4.97375,8.664,8.238,5.881,3.87,6.66325,5.904583333
Kyoto, Japan,Asia,0,8.39,3.724,6.033,4.53675,3.712,8.154,1.646,7.663,5.29375,3.765,0,10,6.435,5.05,4.960166667
Lagos, Nigeria,Africa,2.51,3.256,5.061,6.216,4.26075,1.634,1.358,3.824,1.406,2.0555,7.767,9.098,5.999,1.907,6.19275,4.169666667
La Paz, Bolivia,South America,0,3.482,4.536,4.549,3.14175,1.548,1.525,5.5,6.293,3.7165,4.724,0,6.751,1.734,3.30225,3.386833333
Las Palmas de Gran Canaria, Spain,Europe,0,7.12,4.296,3.894,3.8275,6.196,2.814,5.538,9.718,6.0665,8.232,7.717,9.154,6.86,7.99075,5.961583333
Bozeman,United States,North America,0,8.671,6.514,4.062,4.81175,5.156,1.907,6.134,7.294,5.12275,2.949,0,6.914,9.369,4.808,4.914166667
Lausanne, Switzerland,Europe,3.308,8.888,6.552,6.429,6.29425,4.146,4.222,5.338,8.454,5.54,4.076,1,8.032,8.81,5.4795,5.77125
